P_MASS,P_RADIUS,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_IMPACT_PARAMETER,S_DISTANCE,S_MASS,S_RADIUS,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,S_LUMINOSITY,S_HZ_CON0_MAX,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,CEESA
2383.71,12.6673,15.0,0.31419029,0.8242889999999998,120.42399,0.02,0.23,0.001,-2.0931200000000003,2.721489999999999,2936.0,13.717806773235072,188.17822,14.855433,1.1727386816558922,15.0,1.6e-05,16.110139,145.21334030000008,0.003597493,0.12470699,0.004172788,0.030706817,0.0,0.0,0.0,0.070300999,3.1838016522640356
1589.14,12.8915,55.0,0.57758257,0.8269099999999996,64.308,0.02,0.22,0.008,-0.003,0.004,2825.0,11.1027191241835,123.27037,9.5621434,0.741740171741154,55.0,9.08e-07,7.8652687,145.19190190000006,0.002747894,0.10966604,0.003448318,0.043425998,0.0,0.0,0.0,0.069199633,2.704790474347072
603.87321,13.452,0.92,0.33,0.3985580000000001,396.332,0.48,0.2,5.43137,-3.6267100000000014,4.346349999999998,29564.0,6.700071730613135,44.890961,3.3371217,0.2480762493654892,0.970094,35.274521,607.72225,693.6271530000001,28.183829,8.0434405,8.87e+17,0.36121425,0.0,0.0,0.0,0.095803438,2.708920589132917
3972.85,12.331,230.0,0.6321626400000001,0.935057,69.5737,0.6,0.64,0.12,-0.01,0.01,4045.0,17.949482630115916,322.18393,26.127964,2.118884454727325,230.0,1.8e-06,9.333209,142.28861570000018,0.095279616,0.59883647,0.087145494,0.21190382,0.0,0.0,0.0,0.07197842,3.901519604615254
4392.383,12.331,0.99,0.29,0.595106,44.657,1.93,1.41,0.91,-0.83,0.83,6331.0,18.87343510310274,356.20655,28.887077,2.342638674480177,1.0316295,2.5633363,317.13308,360.3687074000001,2.4043628,2.4831669,6.531395,0.43844741,0.0,0.0,0.0,0.32363552,5.110663487685625
2256.5788,12.6673,0.87,0.432,0.40954,73.4603,1.23,18.11,4.604,-2.0,2.0,4415.0,13.346986580955164,178.14205,14.063143,1.1101926186342446,0.95118144,168.97242,884.18909,1003.9763512999998,115.34533,20.255744,0.20903862,0.49436657,0.0,0.0,0.0,0.076596069,5.057654433866187
1233.1727,13.0036,1.19,0.38,0.3555600000000002,90.6545,0.98,22.03,9.49,-1.76,1.76,4200.0,9.738232743489885,94.833173,7.2928399,0.5608324010961421,1.275918,109.08642,799.90983,906.9055233,142.8894,22.925248,0.13394243,0.51702463,0.0,0.0,0.0,0.078384096,3.8671106770167416
804.10485,13.2278,2.1,0.032,0.3729800000000001,13.7967,1.06,1.21,6.48,-1.04,1.44,5872.0,7.796730645231385,60.789008,4.5955494,0.347416004952652,2.1010752,0.35791828,197.0187,219.3307273,1.5776113,2.0884893,2.4310132,0.49803052,1.0,0.0,0.0,0.30638616,2.2855421812704253
171.62712,14.2367,3.6,0.098,0.6046259999999996,13.7967,1.06,1.21,6.48,-1.04,1.44,5872.0,3.4720685472855912,12.05526,0.84677348,0.0594782133220483,3.6172872,0.12231805,150.39462,171.989973,1.5776113,2.0884893,2.4310132,0.49803052,0.0,0.0,0.0,0.17348008,1.151109252467189
521.23792,13.452,11.6,0.16,0.5625840000000003,13.7967,1.06,1.21,6.48,-1.04,1.44,5872.0,6.224788102131964,38.747987,2.8804629,0.2141289695906016,11.74848,0.011877236,83.698226,152.54575890000007,1.5776113,2.0884893,2.4310132,0.49803052,0.0,0.0,0.0,0.079138172,1.7554910797741732
635.65601,13.3399,13.2,0.45,0.7726300000000004,29.7575,1.75,1.49,0.02,-0.006,0.006,7295.0,6.902951018521983,47.650732,3.5720457,0.2677715518698841,14.5365,0.045497422,112.85883,152.94809080000013,7.0794578,4.0312697,33.120019,0.2245997,0.0,0.0,0.0,0.11286549,1.9022861390109975
146.20088,14.2367,0.0527,0.013,0.5501379999999998,15.4614,1.03,1.18,10.0,-2.21018,2.16789,5758.0,3.2045741609521987,10.269296,0.72132556,0.0506666261632263,0.052704453,492.51047,1200.1485,1355.119313,1.3677288,1.9638312,1.9795828,0.53027837,0.0,0.0,0.0,0.065490276,1.8160243746277915
263.98794,13.9004,0.1134,0.0,0.31171,12.5855,0.91,0.94,5.5,-2.5,2.5,5172.0,4.357911382145097,18.991391,1.3662478,0.0982883837900518,0.1134,49.40534,675.4425,762.7913436999995,0.63533093,1.4095949,0.69409129,0.46057365,0.0,0.0,0.0,0.085728511,1.9927613372040143
54.47572,8.5196,0.2373,0.03,0.3407699999999999,12.5855,0.91,0.94,10.2,-2.5,2.5,5172.0,2.5286684332391904,6.394164,0.75052396,0.0880938041191976,0.23740679,11.287559,466.89755,527.3641574999997,0.63533093,1.4095949,0.69409129,0.51051127,0.0,0.0,0.0,0.18608551,1.3653488991484
1232.537,13.0036,5.957,0.13,0.6614639999999997,12.5855,0.91,0.94,5.5,-2.5,2.5,5172.0,9.735722392517571,94.78429,7.2890807,0.5605432922329822,6.0073367,0.018057015,93.093698,151.5852907000001,0.63533093,1.4095949,0.69409129,0.46057365,0.0,0.0,0.0,0.087566939,2.472158884289497
7.990196,1.87207,0.01544,0.05,0.39,12.5855,0.91,0.94,10.2,-2.5,2.5,5172.0,2.0659398577839543,4.2681075,2.2798867,1.2178426558875115,0.0154593,2668.3879,1830.2201,2066.9461,0.63533093,1.4095949,0.69409129,0.51051127,0.0,0.0,0.0,0.26152245,2.4112481136374124
44.813748,7.58917,0.7708,0.08,0.3357,12.5855,0.91,0.94,10.2,-2.5,2.5,5172.0,2.4300124193064963,5.9049604,0.77807723,0.1025246803281463,0.77326656,1.0727803,258.97034,294.3792907,0.63533093,1.4095949,0.69409129,0.51051127,1.0,1.0,0.0,0.45697611,1.1790615888591744
638.83429,13.3399,2.11,0.073,0.41233,54.6599,1.44,5.2,2.353,-0.211,0.211,4938.0,6.920186877836905,47.888986,3.5899059,0.2691104096081709,2.1156221,3.3775,345.03156,390.8205978999998,14.996848,6.9907019,0.54108483,0.46588921,0.0,0.0,0.0,0.28045586,2.409608368044382
5.085248,2.10748,0.050201,0.12,0.3326999999999998,8.50332,0.94,0.96,8.96,-3.08,2.76,5577.0,1.5533679414692616,2.412952,1.1449466,0.5432775414391937,0.050562447,321.16256,1075.589,1214.7088,0.80352612,1.5293019,1.4069863,0.50503188,0.0,0.0,0.0,0.25346218,1.6549497455685862
