P_MASS,P_RADIUS,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,S_DISTANCE,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_SURF,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
273.33208,13.9004,2.08,0.29,0.4329000000000001,-0.19686900000000007,0.13785000000000014,72.0691,1.54,-0.08,0.08,4.9,-0.08,0.08,2.7,-0.4,0.4,5098.0,4.434367210539967,19.663613,1.4146077,0.1017674079398216,2.167464,3.5232974,2.0262541,6.6889297,343.38196,387.13004650000016,4.9,14.588143,2.9773488,7.1710661,3.7712445,6.798816,3.9906006,6.798816,3.6406981,6.798816,10.312495,0.72838944,0.48748251,0.0,0.0,0.0,0.27172886
1271.312,13.0036,118.0,0.5875145300000004,0.7340600000000004,-0.19346000000000008,0.13690999999999995,128.484,0.17,-0.02,0.01,0.84,-0.11,0.11,2.5,-0.4,0.4,3100.0,9.887677030738697,97.766158,7.5183916,0.5781777049575769,118.0,4.92e-06,4.92e-06,4.92e-06,12.000626,151.06770620000015,0.84,0.068548823,0.21505992,0.56893943,0.27240084,0.53938916,0.2889101,0.53938916,0.26291484,0.53938916,0.70690942,0.011287455,0.23086839,0.0,0.0,0.0,0.068673772
4131.764,12.331,84.0,0.48562712999999996,1.0150989999999993,-0.21465,0.15797699999999992,47.2,0.19,-0.02,0.02,1.6112,-0.4909999999999998,0.4711000000000002,0.03,-1.8923999999999983,2.240229999999999,6367.050299999999,18.304952437971163,335.07129,27.173083,2.2036398329164184,84.0,0.0005447386220482735,0.0007295465800000001,0.0012751266399999995,41.71292076,142.36337370000018,1.6103000000000025,3.8436757171726175,1.0140697330000004,2.4242307729999997,1.2843934999999993,2.298313018000002,1.3580419840000006,2.2979655470000013,1.2397432929999992,2.297738172000002,5.292749797000003,3084856180859564.0,0.11463825,0.0,0.0,0.0,0.072562998
7786.7861,11.21,52.0,0.6191322800000001,1.0280170000000002,-0.22360500000000005,0.13490599999999994,33.8281,0.4,-0.05,0.05,0.37,-0.01,0.01,0.12,-0.01,0.01,3530.0,26.355806852793002,694.62855,61.96508,5.527661081102164,52.0,7.05e-06,7.05e-06,7.05e-06,13.126328,142.26921000000016,0.37,0.019054607,0.1128591,0.29243599,0.14295243,0.27725059,0.15154919,0.27725059,0.13798791,0.27725059,0.37270376,0.031426578,0.18511504,0.0,0.0,0.0,0.078261989
4417.8092,16.1424,156.0,0.6457263199999999,0.9827770000000002,-0.24849000000000007,0.13832899999999992,40.089641,0.11,-0.01,0.01,0.28,-0.01,0.01,0.035,-0.005,0.005,3064.0,16.543196384469518,273.67735,16.953944,1.050274064655799,156.0,2.42e-07,2.42e-07,2.42e-07,5.6504445,142.0431026000001,0.28,0.005888437,0.063054238,0.167089,0.079866127,0.15841033,0.084709373,0.15841033,0.077084216,0.15841033,0.20718761,0.009177344,0.098031817,0.0,0.0,0.0,0.056530008
2383.71,12.6673,15.0,0.31419029000000004,0.8242889999999998,-0.24206500000000009,0.13302799999999992,120.42399,0.02,-0.08709999999999991,0.08600000000000003,0.23,-0.01,0.01,0.001,-2.0931200000000003,2.721489999999999,2936.0,13.717806773235072,188.17822,14.855433,1.1727386816558922,15.0,1.6e-05,1.6e-05,1.6e-05,16.110139,145.21334030000008,0.23,0.003597493,0.049349347,0.13153982,0.062506817,0.12470699,0.066304929,0.12470699,0.060327666,0.12470699,0.16194359,0.004172788,0.030706817,0.0,0.0,0.0,0.070300999
1589.14,12.8915,55.0,0.57758257,0.8269099999999996,-0.25545000000000007,0.13907499999999992,64.308,0.02,-0.08410000000000001,0.08310000000000002,0.22,-0.01,0.01,0.008,-0.003,0.004,2825.0,11.1027191241835,123.27037,9.5621434,0.741740171741154,55.0,9.08e-07,9.08e-07,9.08e-07,7.8652687,145.19190190000006,0.22,0.002747894,0.043183456,0.11567528,0.054696699,0.10966604,0.058025602,0.10966604,0.052788383,0.10966604,0.14153497,0.003448318,0.043425998,0.0,0.0,0.0,0.069199633
603.87321,13.452,0.92,0.33,0.3985580000000001,-0.198549,0.14151699999999992,396.332,0.48,-0.07870000000000003,0.08270000000000001,0.2,0.0,0.0,5.43137,-3.6267100000000023,4.346349999999998,29564.0,6.700071730613135,44.890961,3.3371217,0.24807624936548928,0.970094,35.274521,18.824397,74.177935,607.72225,693.6271530000001,0.2,28.183829,3.6813254,8.4838093,4.6626903,8.0434405,4.9253532,8.0434405,4.5000637,8.0434405,14.33388,8.87e+17,0.36121425,0.0,0.0,0.0,0.095803438
3972.85,12.331,230.0,0.6321626400000001,0.935057,-0.20101499999999997,0.13661999999999994,69.5737,0.6,-0.05,0.05,0.64,-0.06,0.06,0.12,-0.01,0.01,4045.0,17.949482630115916,322.18393,26.127964,2.118884454727325,230.0,1.8e-06,1.8e-06,1.8e-06,9.333209,142.28861570000018,0.64,0.095279616,0.25010808,0.63162932,0.3168008,0.59883647,0.33564962,0.59883647,0.30582585,0.59883647,0.83341972,0.087145494,0.21190382,0.0,0.0,0.0,0.07197842
4392.383,12.331,0.99,0.29,0.595106,-0.20399899999999999,0.12612999999999996,44.657,1.93,-0.27,0.27,1.41,-0.05,0.05,0.91,-0.83,0.83,6331.0,18.87343510310274,356.20655,28.887077,2.3426386744801775,1.0316295,2.5633363,1.4741789,4.8664573,317.13308,360.3687074000001,1.41,2.4043628,1.1252587,2.6191225,1.4252578,2.4831669,1.5064464,2.4831669,1.3756928,2.4831669,4.1866222,6.531395,0.43844741,0.0,0.0,0.0,0.32363552
